"Title","Artist","Year","TotalPlays"
"MR. BROWNSTONE","Guns N' Roses",1987,1
"MY MICHELLE","Guns N' Roses",1987,1
"NOVEMBER RAIN","Guns N' Roses",1991,13
"PARADISE CITY","Guns N' Roses",1987,75
"PATIENCE","Guns N' Roses",1988,21
"SWEET CHILD O' MINE","Guns N' Roses",1987,85
"USED TO LOVE HER","Guns N' Roses",1988,1
"WELCOME TO THE JUNGLE","Guns N' Roses",1987,74
"AXEL F THEME","Harold Faltermeyer",1984,1
"CAT'S IN THE CRADLE","Harry Chapin",1974,4
"W*O*L*D*","Harry Chapin",1974,1
"NEVER BEEN ANY REASON","Head East",1975,16
"ALONE","Heart",1987,4
"BARRACUDA","Heart",1977,113
"CRAZY ON YOU","Heart",1976,125
"DREAMBOAT ANNIE","Heart",1976,3
"HOW CAN I REFUSE","Heart",1983,2
"MAGIC MAN","Heart",1976,115
"STRAIGHT ON","Heart",1978,36
"GREY GHOST","Henry Paul Band",1979,1
"LONG COOL WOMAN","Hollies",1971,39
"ALL YOU ZOMBIES","Hooters",1985,4
"AND WE DANCED","Hooters",1985,4
"I WANT A NEW DRUG","Huey Lewis & The News",1983,4
"30 DAYS IN THE HOLE","Humble Pie",1972,2
"LUST FOR LIFE","Iggy Pop",1977,4
"THE PASSENGER","Iggy Pop",1977,1
"RADIOACTIVE","Imagine Dragons",2012,3
"DEVIL INSIDE","INXS",1988,5
"NEED YOU TONIGHT","INXS",1987,12
"WHAT YOU NEED","INXS",1985,28
"IN A GADDA DA VIDA","Iron Butterfly",1968,1
"FLIGHT OF ICARUS","Iron Maiden",1983,1
"RUN TO THE HILLS","Iron Maiden",1982,27
"THE NUMBER OF THE BEAST","Iron Maiden",1982,18
"THE TROOPER","Iron Maiden",1983,3
"WASTED YEARS","Iron Maiden",1986,8
"CENTERFOLD","J. Geils Band",1981,78
"FREEZE-FRAME","J. Geils Band",1981,17
"GIVE IT TO ME","J. Geils Band",1973,28
"DOCTOR MY EYES","Jackson Browne",1972,9
"LOAD OUT/STAY","Jackson Browne",1977,2
"REDNECK FRIEND","Jackson Browne",1973,1
"RUNNING ON EMPTY","Jackson Browne",1977,39
"SOMEBODY'S BABY","Jackson Browne",1982,7
"THE LOAD-OUT/STAY","Jackson Browne",1977,21
"THE ROAD AND THE SKY","Jackson Browne",1977,1
"FUNK #49","James Gang",1970,18
"YOU'VE GOT A FRIEND","JAMES TAYLOR",1971,1
"BEEN CAUGHT STEALING","Jane's Addiction",1990,3
"JANE SAYS","Jane's Addiction",1988,1
"GET IT WHILE YOU CAN","Janis Joplin",1971,1
"ME AND BOBBY MCGEE","Janis Joplin",1971,23
"MOVE OVER","Janis Joplin",1971,2
"PIECE OF MY HEART","Janis Joplin",1968,28
"THUNDER ISLAND","Jay Ferguson",1978,3
"FREEWAY JAM","Jeff Beck",1975,1
"SOMEBODY TO LOVE","Jefferson Airplane",1967,13
"WHITE RABBIT","Jefferson Airplane",1967,23
"JANE","Jefferson Starship",1979,32
"WE BUILT THIS CITY","Jefferson Starship",1985,3
"RIGHT HERE RIGHT NOW","Jesus Jones",1991,3
"ARE YOU GONNA BE MY GIRL","Jet",2003,1
"COLD HARD BITCH","Jet",2004,2
"AQUALUNG","Jethro Tull",1971,21
"BUNGLE IN THE JUNGLE","Jethro Tull",1974,19
"CROSS-EYED MARY","Jethro Tull",1971,12
"LIVING IN THE PAST","Jethro Tull",1969,13
"LOCOMOTIVE BREATH","Jethro Tull",1971,53
"TEACHER","Jethro Tull",1972,17
"TIME IN A BOTTLE","Jim Croce",1972,1
"ALL ALONG THE WATCHTOWER","Jimi Hendrix",1968,141
"ANGEL","Jimi Hendrix",1971,1
"ARE YOU EXPERIENCED?","Jimi Hendrix",1967,4
"CROSSTOWN TRAFFIC","Jimi Hendrix",1968,8
"DOLLY DAGGER","Jimi Hendrix",1970,3
"FIRE","Jimi Hendrix",1967,63
"FOXEY LADY","Jimi Hendrix",1967,50
"HEY JOE","Jimi Hendrix",1966,51
"LITTLE WING","Jimi Hendrix",1967,6
"MANIC DEPRESSION","Jimi Hendrix",1967,7
"PURPLE HAZE","Jimi Hendrix",1967,67
"RED HOUSE","Jimi Hendrix",1967,4
"STONE FREE","Jimi Hendrix",1966,4
"THE WIND CRIES MARY","Jimi Hendrix",1967,21
"THIRD STONE FROM THE SUN","Jimi Hendrix",1967,2
"VOODOO CHILD (SLIGHT RETURN)","Jimi Hendrix",1968,2
"MARGARITAVILLE","Jimmy Buffett",1977,17
"SON OF A SON OF A SAILOR","Jimmy Buffett",1978,1
"WHY DON'T WE GET DRUNK","Jimmy Buffett",1973,2
"BAD REPUTATION","Joan Jett",1981,1
"I HATE MYSELF FOR LOVING YOU","Joan Jett",1988,16
"I LOVE ROCK 'N ROLL","Joan Jett",1981,82
"WITH A LITTLE HELP FROM MY FRIENDS","Joe Cocker",1968,9
"IS SHE REALLY GOING OUT WITH HIM?","Joe Jackson",1979,6
"A LIFE OF ILLUSION","Joe Walsh",1981,5
"ALL NIGHT LONG","Joe Walsh",1980,41
"ANALOG MAN","Joe Walsh",2012,1
"FUNK #49","Joe Walsh",2012,4
"IN THE CITY","Joe Walsh",1979,6
"ORDINARY AVERAGE GUY","Joe Walsh",1991,2
"ROCKY MOUNTAIN WAY","Joe Walsh",1973,70
"ON THE DARK SIDE","John Cafferty",1983,19
"CENTERFIELD","John Fogerty",1985,11
"THE OLD MAN DOWN THE ROAD","John Fogerty",1985,12
"#9 DREAM","John Lennon",1974,2
"IMAGINE","John Lennon",1971,31
"INSTANT KARMA","John Lennon",1970,21
"WATCHING THE WHEELS","John Lennon",1980,14
"WOMAN","John Lennon",1980,1
"AUTHORITY SONG","John Mellencamp",1983,20
"CRUMBLIN' DOWN","John Mellencamp",1983,17
"HURTS SO GOOD","John Mellencamp",1982,40
"I NEED A LOVER","John Mellencamp",1978,24
"JACK & DIANE","John Mellencamp",1982,73
"LONELY OL' NIGHT","John Mellencamp",1985,7
"PAPER IN FIRE","John Mellencamp",1987,1
"PINK HOUSES","John Mellencamp",1984,34
"R.O.C.K. IN THE U.S.A.","John Mellencamp",1985,4
"RAIN ON THE SCARECROW","John Mellencamp",1985,1
"SMALL TOWN","John Mellencamp",1985,55
"I CAN SEE CLEARLY NOW","Johnny Nash",1972,2
"BRICKYARD ROAD","Johnny Van Zant",1990,1
"ROADRUNNER","Jonathan Richman",1977,1
"ANY WAY YOU WANT IT","Journey",1980,105
"DON'T STOP BELIEVIN'","Journey",1981,105
"FAITHFULLY","Journey",1983,14
"FEELING THAT WAY","Journey",1978,13
"LIGHTS","Journey",1978,93
"LOVIN', TOUCHIN' SQUEEZIN'","Journey",1979,60
"ONLY THE YOUNG","Journey",1985,3
"OPEN ARMS","Journey",1982,10
"SEND HER MY LOVE","Journey",1983,1
"SEPARATE WAYS (WORLDS APART)","Journey",1983,100
"WHEEL IN THE SKY","Journey",1978,114
"WHO'S CRYING NOW","Journey",1981,29
"BREAKING THE LAW","Judas Priest",1980,7
"ELECTRIC EYE","Judas Priest",1982,1
"LIVING AFTER MIDNIGHT","Judas Priest",1980,32
"THE RIPPER","Judas Priest",1976,1
"CARRY ON WAYWARD SON","Kansas",1976,134
"DUST IN THE WIND","Kansas",1977,62
"PLAY THE GAME TONIGHT","Kansas",1982,1
"POINT OF KNOW RETURN","Kansas",1977,30
"I'M ALRIGHT","Kenny Loggins",1980,5
"ALL SUMMER LONG","Kid Rock",2007,8
"COWBOY","Kid Rock",1998,3
"LET'S RIDE","Kid Rock",2012,1
"SEX ON FIRE","Kings of Leon",2008,1
"USE SOMEBODY","Kings of Leon",2008,2
"BETH","Kiss",1976,2
"CALLING DR. LOVE","Kiss",1976,4
"COLD GIN","Kiss",1973,2
"DETROIT ROCK CITY","Kiss",1976,27
"LICK IT UP","Kiss",1983,4
"ROCK AND ROLL ALL NITE","Kiss",1975,119
"STRUTTER","Kiss",1974,1
"ALL MY LOVE","Led Zeppelin",1979,83
"BABE I'M GONNA LEAVE YOU","Led Zeppelin",1969,24
"BLACK DOG","Led Zeppelin",1971,105
"BLACK MOUNTAIN SIDE","Led Zeppelin",1969,1
"BONZO'S MONTREAUX","Led Zeppelin",1982,3
"BOOGIE WITH STU","Led Zeppelin",1975,4
"BRING IT ON HOME","Led Zeppelin",1969,1
"BRON-Y-AUR STOMP","Led Zeppelin",1970,2
"CELEBRATION DAY","Led Zeppelin",1970,4
"COMMUNICATION BREAKDOWN","Led Zeppelin",1969,18
"CUSTARD PIE","Led Zeppelin",1975,6
"D'YER MAK'ER","Led Zeppelin",1973,88
"DANCING DAYS","Led Zeppelin",1973,28
"DARLENE","Led Zeppelin",1982,2
"DAZED AND CONFUSED","Led Zeppelin",1969,15
"DOWN BY THE SEASIDE","Led Zeppelin",1975,1
"FOOL IN THE RAIN","Led Zeppelin",1979,69
"FOR YOUR LIFE","Led Zeppelin",1976,1
"FOUR STICKS","Led Zeppelin",1971,5
"FRIENDS","Led Zeppelin",1970,2
"GALLOWS POLE","Led Zeppelin",1970,4
"GOING TO CALIFORNIA","Led Zeppelin",1971,42
"GOOD TIMES BAD TIMES","Led Zeppelin",1969,43
"HATS OFF TO {ROY} HARPER","Led Zeppelin",1970,8
"HEARTBREAKER/LIVING LOVING MAID {SHE'S JUST A WOMAN}","Led Zeppelin",1969,35
"HEY HEY WHAT CAN I DO","Led Zeppelin",1970,32
"HOT DOG","Led Zeppelin",1979,4
"HOUSES OF THE HOLY","Led Zeppelin",1975,45
"HOW MANY MORE TIMES","Led Zeppelin",1969,2
"I CAN'T QUIT YOU BABY","Led Zeppelin",1969,1
"IMMIGRANT SONG","Led Zeppelin",1970,87
"IN MY TIME OF DYING","Led Zeppelin",1975,2
"IN THE EVENING","Led Zeppelin",1979,11
"IN THE LIGHT","Led Zeppelin",1975,4
"KASHMIR","Led Zeppelin",1975,64
"LIVING LOVING MAID (SHE'S JUST A WOMAN)","Led Zeppelin",1969,7
"MISTY MOUNTAIN HOP","Led Zeppelin",1971,31
"MOBY DICK","Led Zeppelin",1969,5
"NIGHT FLIGHT","Led Zeppelin",1975,1
"NO QUARTER","Led Zeppelin",1973,3
"OUT ON THE TILES","Led Zeppelin",1970,6
"OVER THE HILLS AND FAR AWAY","Led Zeppelin",1973,94
"RAMBLE ON","Led Zeppelin",1969,90
"ROCK AND ROLL","Led Zeppelin",1971,92
"ROYAL ORLEANS","Led Zeppelin",1976,2
"SINCE I'VE BEEN LOVING YOU","Led Zeppelin",1970,11
"SOUTH BOUND SAUREZ","Led Zeppelin",1979,1
"STAIRWAY TO HEAVEN","Led Zeppelin",1971,79
"TANGERINE","Led Zeppelin",1970,1
"TEN YEARS GONE","Led Zeppelin",1975,5
"THANK YOU","Led Zeppelin",1969,8
"THAT'S THE WAY","Led Zeppelin",1970,1
"THE BATTLE OF EVERMORE","Led Zeppelin",1971,11
"THE CRUNGE","Led Zeppelin",1973,1
"THE LEMON SONG","Led Zeppelin",1969,3
"THE OCEAN","Led Zeppelin",1973,54
"THE RAIN SONG","Led Zeppelin",1973,3
"THE ROVER","Led Zeppelin",1975,2
"THE SONG REMAINS THE SAME","Led Zeppelin",1973,2
"THE WANTON SONG","Led Zeppelin",1975,1
"TRAMPLED UNDER FOOT","Led Zeppelin",1975,35
"TRAVELING RIVERSIDE BLUES","Led Zeppelin",1982,9
"WHAT IS AND WHAT SHOULD NEVER BE","Led Zeppelin",1969,40
"WHEN THE LEVEE BREAKS","Led Zeppelin",1971,17
"WHOLE LOTTA LOVE","Led Zeppelin",1969,72
"YOU SHOOK ME","Led Zeppelin",1969,3
"YOUR TIME IS GONNA COME","Led Zeppelin",1969,10
"AMERICAN WOMAN","Lenny Kravitz",1998,4
"ARE YOU GONNA GO MY WAY","Lenny Kravitz",1993,11
"FLY AWAY","Lenny Kravitz",1998,10
"MY OWN WORST ENEMY","Lit",1999,2
"CLOSE MY EYES FOREVER","Lita Ford",1988,5
"KISS ME DEADLY","Lita Ford",1988,1
"DIXIE CHICKEN","Little Feat",1973,20
"LIGHTNING CRASHES","Live",1994,4
"CULT OF PERSONALITY","Living Colour",1988,12
"BOUND FOR THE FLOOR","Local H",1996,2
"CONQUISTADOR","London Symphony Orchestra",1967,2
"SWEET JANE (LIVE)","Lou Reed",1970,1
"WALK ON THE WILD SIDE","Lou Reed",1972,31
"THE KID IS HOT TONITE","Loverboy",1980,2
"TURN ME LOOSE","Loverboy",1980,16
"WORKING FOR THE WEEKEND","Loverboy",1981,27
"CALL ME THE BREEZE","Lynyrd Skynyrd",1974,25
"DIXIE/SWEET HOME ALABAMA","Lynyrd Skynyrd",1974,33
"DON'T ASK ME NO QUESTIONS","Lynyrd Skynyrd",1974,14
"FREE BIRD","Lynyrd Skynyrd",1973,75
"GIMME BACK MY BULLETS","Lynyrd Skynyrd",1976,4
"GIMME THREE STEPS","Lynyrd Skynyrd",1973,47
"I KNOW A LITTLE","Lynyrd Skynyrd",1977,4
"SATURDAY NIGHT SPECIAL","Lynyrd Skynyrd",1975,21
"SIMPLE MAN","Lynyrd Skynyrd",1973,47
"SWEET HOME ALABAMA","Lynyrd Skynyrd",1974,95
"THAT SMELL","Lynyrd Skynyrd",1977,24
"THE BALLAD OF CURTIS LOEW","Lynyrd Skynyrd",1974,8
"TUESDAY'S GONE","Lynyrd Skynyrd",1973,31
"WHAT'S YOUR NAME","Lynyrd Skynyrd",1977,64
"BLINDED BY THE LIGHT","Manfred Mann",1976,114
"DO WAH DIDDY DIDDY","Manfred Mann",1964,2
"PARADISE BY THE DASHBOARD LIGHT","Meat Loaf",1977,10
"TWO OUT OF THREE AIN'T BAD","Meat Loaf",1977,1
"YOU TOOK THE WORDS RIGHT OUT OF MY MOUTH","Meat Loaf",1977,9
"I'M THE ONLY ONE","Melissa Etheridge",1993,1
"DOWN UNDER","Men At Work",1982,5
"WHO CAN IT BE NOW?","Men At Work",1982,6
"BREADFAN","Metallica",1998,2
"ENTER SANDMAN","Metallica",1991,34
"FADE TO BLACK","Metallica",1984,4
"FOR WHOM THE BELL TOLLS","Metallica",1984,1
"FUEL","Metallica",1997,2
"HARVESTER OF SORROW","Metallica",1988,1
"HERO OF THE DAY","Metallica",1996,1
"MASTER OF PUPPETS","Metallica",1986,2
"NO LEAF CLOVER","Metallica",1999,1
"NOTHING ELSE MATTERS","Metallica",1991,10
"ONE","Metallica",1988,1
"SAD BUT TRUE","Metallica",1991,4
"SEEK & DESTROY","Metallica",1983,1
"THE MEMORY REMAINS","Metallica",1997,3
"THE UNFORGIVEN","Metallica",1991,19
"UNTIL IT SLEEPS","Metallica",1996,2
"WHEREVER I MAY ROAM","Metallica",1991,3
"BEDS ARE BURNING","Midnight Oil",1988,6
"DEVIL WITH THE BLUE DRESS ON","Mitch Ryder",1966,1
"I MELT WITH YOU","Modern English",1982,15
"BAD MOTOR SCOOTER","Montrose",1973,30
"ROCK CANDY","Montrose",1973,19
"SPACE STATION #5","Montrose",1973,1
"DON'T GO AWAY MAD (JUST GO AWAY)","Motley Crue",1989,4
"DR. FEELGOOD","Motley Crue",1989,17
"GIRLS, GIRLS, GIRLS","Motley Crue",1987,25
"HOME SWEET HOME","Motley Crue",1985,29
"KICKSTART MY HEART","Motley Crue",1989,25
"SAME OL' SITUATION","Motley Crue",1989,4
"SHOUT AT THE DEVIL","Motley Crue",1983,4
"WILD SIDE","Motley Crue",1987,11
"ALL THE YOUNG DUDES","Mott the Hoople",1972,12
"MISSISSIPPI QUEEN","Mountain",1970,25
"IN THE SUMMERTIME","Mungo Jerry",1970,2
"HAIR OF THE DOG","Nazareth",1975,53
"LOVE HURTS","Nazareth",1976,26
"CINNAMON GIRL","Neil Young",1969,29
"DOWN BY THE RIVER","Neil Young",1969,2
"HEART OF GOLD","Neil Young",1972,17
"HEY HEY, MY MY","Neil Young",1978,14
"LIKE A HURRICANE","Neil Young",1977,2
"MY MY, HEY HEY","Neil Young",1979,3
"OLD MAN","Neil Young",1972,13
"POWDERFINGER","Neil Young",1978,2
"ROCKIN' IN THE FREE WORLD","Neil Young",1989,38
"SOUTHERN MAN","Neil Young",1970,16
"SUGAR MOUNTAIN","Neil Young",1969,2
"THE NEEDLE AND THE DAMAGE DONE","Neil Young",1972,4
"HOW YOU REMIND ME","Nickelback",2001,4
"PHOTOGRAPH","Nickelback",2005,1
"ROCKSTAR","Nickelback",2005,10
"(YOU CAN STILL) ROCK IN AMERICA","Night Ranger",1983,3
"DON'T TELL ME YOU LOVE ME","Night Ranger",1982,2
"SISTER CHRISTIAN","Night Ranger",1983,32
"WHEN YOU CLOSE YOUR EYES","Night Ranger",1983,1
"ABOUT A GIRL","Nirvana",1989,2
"ALL APOLOGIES","Nirvana",1993,15
"COME AS YOU ARE","Nirvana",1991,39
"DUMB","Nirvana",1993,1
"IN BLOOM","Nirvana",1991,11
"LITHIUM","Nirvana",1991,10
"ON A PLAIN","Nirvana",1991,2
"POLLY","Nirvana",1991,2
"SMELLS LIKE TEEN SPIRIT","Nirvana",1991,24
"SPIRIT IN THE SKY","Norman Greenbaum",1969,31
"WONDERWALL","Oasis",1995,3
"STILL THE ONE","Orleans",1976,1
"(SITTIN' ON) THE DOCK OF THE BAY","Otis Redding",1968,5
"IF YOU WANNA GET TO HEAVEN","Ozark Mountain Daredevils",1973,2
"JACKIE BLUE","Ozark Mountain Daredevils",1975,2
"BARK AT THE MOON","Ozzy Osbourne",1983,6
"CRAZY TRAIN","Ozzy Osbourne",1980,79
"DIARY OF A MADMAN","Ozzy Osbourne",1981,1
"FLYING HIGH AGAIN","Ozzy Osbourne",1981,44
"GOODBYE TO ROMANCE","Ozzy Osbourne",1980,2
"I DON'T KNOW","Ozzy Osbourne",1980,8
"MAMA, I'M COMING HOME","Ozzy Osbourne",1991,31
"MR. CROWLEY","Ozzy Osbourne",1980,5
"MR. TINKERTRAIN","Ozzy Osbourne",1992,1
"NO MORE TEARS","Ozzy Osbourne",1991,8
"OVER THE MOUNTAIN","Ozzy Osbourne",1981,16
"PERRY MASON","Ozzy Osbourne",1995,2
"ROAD TO NOWHERE","Ozzy Osbourne",1991,1
"SHOT IN THE DARK","Ozzy Osbourne",1986,10
"HEARTBREAKER","Pat Benatar",1979,80
"HELL IS FOR CHILDREN","Pat Benatar",1980,1
"HIT ME WITH YOUR BEST SHOT","Pat Benatar",1980,62
"INVINCIBLE","Pat Benatar",1985,1
"LOVE IS A BATTLEFIELD","Pat Benatar",1983,28
"SHADOWS OF THE NIGHT","Pat Benatar",1982,8
"WE BELONG","Pat Benatar",1984,14
"YOU BETTER RUN","Pat Benatar",1980,1
"THE BACK SEAT OF MY CAR","Paul McCartney & Linda McCartney",1971,1
"TOO MANY PEOPLE","Paul McCartney & Linda McCartney",1971,1
"UNCLE ALBERT/ADMIRAL HALSEY","Paul McCartney & Linda McCartney",1971,2
"BAND ON THE RUN","Paul McCartney & Wings",1973,50
"COMING UP","Paul McCartney & Wings",1980,3
"HELEN WHEELS","Paul McCartney & Wings",1973,4
"JET","Paul McCartney & Wings",1973,12
"JUNIOR'S FARM","Paul McCartney & Wings",1974,3
"LET ME ROLL IT","Paul McCartney & Wings",1973,1
"LIVE AND LET DIE","Paul McCartney & Wings",1973,85
"MAYBE I'M AMAZED","Paul McCartney & Wings",1970,53
"MY LOVE","Paul McCartney & Wings",1973,1
"SILLY LOVE SONGS","Paul McCartney & Wings",1976,3
"UNCLE ALBERT/ADMIRAL HALSEY","Paul McCartney & Wings",1971,4
"VENUS AND MARS/ROCK SHOW","Paul McCartney & Wings",1975,2
"50 WAYS TO LEAVE YOUR LOVER","Paul Simon",1975,1
"KODACHROME","Paul Simon",1973,2
"LOVES ME LIKE A ROCK","Paul Simon",1973,1
"ME AND JULIO DOWN BY THE SCHOOLYARD","Paul Simon",1972,6
"YOU CAN CALL ME AL","Paul Simon",1986,1
"ALIVE","Pearl Jam",1991,16
"BETTER MAN","Pearl Jam",1994,17
"BLACK","Pearl Jam",1991,11
"DAUGHTER","Pearl Jam",1993,10
"DISSIDENT","Pearl Jam",1994,2
"ELDERLY WOMAN BEHIND THE COUNTER IN A SMALL TOWN","Pearl Jam",1993,2
"EVEN FLOW","Pearl Jam",1991,16
"JEREMY","Pearl Jam",1991,16
"LAST KISS","Pearl Jam",1999,3
"LIGHTNING BOLT","Pearl Jam",2013,4
"NOT FOR YOU","Pearl Jam",1994,1
"SIRENS","Pearl Jam",2013,3
"YELLOW LEDBETTER","Pearl Jam",1992,2
"LET MY LOVE OPEN THE DOOR","Pete Townshend",1980,38
"ROUGH BOYS","Pete Townshend",1980,2
"BABY, I LOVE YOUR WAY","Peter Frampton",1975,41
"DO YOU FEEL LIKE WE DO","Peter Frampton",1973,37
"SHOW ME THE WAY","Peter Frampton",1975,30
"BIG TIME","Peter Gabriel",1986,24
"GAMES WITHOUT FRONTIERS","Peter Gabriel",1980,3
"IN YOUR EYES","Peter Gabriel",1986,28
"RED RAIN","Peter Gabriel",1986,8
"SHOCK THE MONKEY","Peter Gabriel",1982,2
"SLEDGEHAMMER","Peter Gabriel",1986,36
"SOLSBURY HILL","Peter Gabriel",1977,31
"IN THE AIR TONIGHT","Phil Collins",1981,93
"ANOTHER BRICK IN THE WALL","Pink Floyd",1979,29
"ANOTHER BRICK IN THE WALL, PT. 2","Pink Floyd",1979,58
"ANY COLOUR YOU LIKE","Pink Floyd",1973,2
"ARNOLD LAYNE","Pink Floyd",1967,1
"ASTRONOMY DOMINE","Pink Floyd",1967,3
"BRAIN DAMAGE","Pink Floyd",1973,21
"BRAIN DAMAGE /ECLIPSE","Pink Floyd",1973,41
"BREATHE","Pink Floyd",1973,9
"CAREFUL WITH THAT AXE, EUGENE","Pink Floyd",1969,23
"COMFORTABLY NUMB","Pink Floyd",1979,92
"DOGS","Pink Floyd",1977,1
"EMPTY SPACES","Pink Floyd",1979,8
"EMPTY SPACES/YOUNG LUST","Pink Floyd",1979,12
"FEARLESS","Pink Floyd",1971,17
"GOODBYE BLUE SKY","Pink Floyd",1979,11
"HAVE A CIGAR","Pink Floyd",1975,41
"HEY YOU","Pink Floyd",1979,65
"KEEP TALKING","Pink Floyd",1994,4
"LEARNING TO FLY","Pink Floyd",1987,44
"MONEY","Pink Floyd",1973,84
"MOTHER","Pink Floyd",1979,19
"ON THE TURNING AWAY","Pink Floyd",1987,15
"ONE OF THESE DAYS","Pink Floyd",1971,12
"ONE SLIP","Pink Floyd",1987,1
"RUN LIKE HELL","Pink Floyd",1979,59
"SEE EMILY PLAY","Pink Floyd",1967,1
"SET THE CONTROLS FOR THE HEART OF THE SUN","Pink Floyd",1968,1
"SHINE ON YOU CRAZY DIAMOND","Pink Floyd",1975,2
"SPEAK TO ME/BREATHE","Pink Floyd",1973,30
"TAKE IT BACK","Pink Floyd",1994,1
"THE DOGS OF WAR","Pink Floyd",1987,2
"THE GREAT GIG IN THE SKY","Pink Floyd",1973,4
"THE HAPPIEST DAYS OF OUR LIVES/ANOTHER BRICK IN THE WALL","Pink Floyd",1979,44
"TIME","Pink Floyd",1973,74
"TIME/GIG IN THE SKY","Pink Floyd",1973,1
"US AND THEM","Pink Floyd",1973,25
"WELCOME TO THE MACHINE","Pink Floyd",1975,41
"WISH YOU WERE HERE","Pink Floyd",1975,87
"YOUNG LUST","Pink Floyd",1979,59
"EVERY ROSE HAS ITS THORN","Poison",1988,22
"NOTHIN' BUT A GOOD TIME","Poison",1988,21
"SOMETHING TO BELIEVE IN","Poison",1990,1
"TALK DIRTY TO ME","Poison",1987,1
"A SALTY DOG","Procol Harum",1969,1
"A WHITER SHADE OF PALE","Procol Harum",1967,3
"BLURRY","Puddle of Mudd",2001,1
"ANOTHER ONE BITES THE DUST","Queen",1980,102
"BICYCLE RACE","Queen",1978,8
"BOHEMIAN RHAPSODY","Queen",1975,119
"CRAZY LITTLE THING CALLED LOVE","Queen",1979,57
"DON'T STOP ME NOW","Queen",1977,2
"FAT BOTTOMED GIRLS","Queen",1978,75
"KEEP YOURSELF ALIVE","Queen",1973,4
"KILLER QUEEN","Queen",1974,69
"ONE VISION","Queen",1985,1
"SOMEBODY TO LOVE","Queen",1976,69
"THESE ARE THE DAYS OF OUR LIVES","Queen",1991,1
"TIE YOUR MOTHER DOWN","Queen",1976,4
"UNDER PRESSURE","Queen",1981,88
"WE ARE THE CHAMPIONS","Queen",1977,104
"WE WILL ROCK YOU","Queen",1977,103
"YOU'RE MY BEST FRIEND","Queen",1976,57
"UNDER PRESSURE","Queen / David Bowie",1981,73
"NO ONE KNOWS","Queens of the Stone Age",2002,1
"ANOTHER RAINY NIGHT","Queensryche",1990,2
"JET CITY WOMAN","Queensryche",1990,6
"SILENT LUCIDITY","Queensryche",1990,10
"METAL HEALTH","Quiet Riot",1983,4
"IT'S THE END OF THE WORLD AS WE KNOW IT (AND I FEEL FINE)","R.E.M.",1987,30
"LOSING MY RELIGION","R.E.M.",1991,27
"MAN ON THE MOON","R.E.M.",1992,23
"ORANGE CRUSH","R.E.M.",1988,10
"STAND","R.E.M.",1988,18
"THE ONE I LOVE","R.E.M.",1987,35
"MAN ON THE SILVER MOUNTAIN","Rainbow",1975,5
"SINCE YOU BEEN GONE","Rainbow",1979,14
"STONE COLD","Rainbow",1982,3
"BLACK BETTY","Ram Jam",1977,57
"ROUND AND ROUND","Ratt",1984,48
"BREAKING THE GIRL","Red Hot Chili Peppers",1992,1
"BY THE WAY","Red Hot Chili Peppers",2002,1
"CALIFORNICATION","Red Hot Chili Peppers",1999,4
"DANI CALIFORNIA","Red Hot Chili Peppers",2006,3
"GIVE IT AWAY","Red Hot Chili Peppers",1991,7
"SCAR TISSUE","Red Hot Chili Peppers",1999,8
"SOUL TO SQUEEZE","Red Hot Chili Peppers",1993,8
"UNDER THE BRIDGE","Red Hot Chili Peppers",1991,28
"LUNATIC FRINGE","Red Rider",1981,52
"I CAN'T FIGHT THIS FEELING","REO Speedwagon",1984,2
"KEEP ON LOVING YOU","REO Speedwagon",1980,23
"TAKE IT ON THE RUN","REO Speedwagon",1981,46
"ROCK AND ROLL, HOOCHIE KOO","Rick Derringer",1974,55
"JESSIE'S GIRL","Rick Springfield",1981,2
"BACK OFF BOOGALOO","Ringo Starr",1972,2
"EARLY 1970 [*]","Ringo Starr",1971,1
"IT DON'T COME EASY","Ringo Starr",1971,5
"NO NO SONG","Ringo Starr",1974,3
"PHOTOGRAPH","Ringo Starr",1973,4
"YOUR'RE SIXTEEN","Ringo Starr",1974,2
"ADDICTED TO LOVE","Robert Palmer",1985,11
"BAD CASE OF LOVIN' YOU","Robert Palmer",1979,42
"SIMPLY IRRESISTIBLE","Robert Palmer",1988,1
"BIG LOG","Robert Plant",1983,11
"IN THE MOOD","Robert Plant",1983,26
"BRIDGE OF SIGHS","Robin Trower",1974,3
"EVERY PICTURE TELLS A STORY","Rod Stewart",1971,15
"MAGGIE MAY","Rod Stewart",1971,49
"REASON TO BELIEVE","Rod Stewart",1971,5
"THE FIRST CUT IS THE DEEPEST","Rod Stewart",1976,24
"TONIGHT'S THE NIGHT (GONNA BE ALRIGHT)","Rod Stewart",1976,2
"YOU WEAR IT WELL","Rod Stewart",1972,7
"YOU'RE IN MY HEART (THE FINAL ACCLAIM)","Rod Stewart",1977,1
"THE LOGICAL SONG","Roger Hodgson",1979,1
"(I CAN'T GET NO) SATISFACTION","Rolling Stones",1965,60
"19TH NERVOUS BREAKDOWN","Rolling Stones",1966,1
"AIN'T TOO PROUD TO BEG","Rolling Stones",1974,14
"ALMOST HEAR YOU SIGH","Rolling Stones",1989,1
"ANGIE","Rolling Stones",1973,32
"BEAST OF BURDEN","Rolling Stones",1978,86
"BITCH","Rolling Stones",1971,5
"BROWN SUGAR","Rolling Stones",1971,37
